,full_name,forks_count,open_issues_count,watchers_count,star_count
693,devsisters/DQN-tensorflow,-1.272131521175558,-2.6039958204149976,-0.9504677737954345,-0.9504677737954345
694,jmcnamara/XlsxWriter,-1.478010443852177,-2.7189673277022446,-0.9506405342669949,-0.9506405342669949
695,ZiniuLu/Python-100-Days,-1.2018904769682408,-2.8083896111478808,-0.9508132947385555,-0.9508132947385555
696,websocket-client/websocket-client,-1.410998872941748,-1.7544841276814516,-0.9509860552101159,-0.9509860552101159
697,sensepost/objection,-1.596693587512816,-2.489024313127751,-0.9511588156816765,-0.9511588156816765
698,egrcc/zhihu-python,-1.1486041675695866,-2.6614815740586213,-0.9518498575679185,-0.9518498575679185
699,munificent/vigil,-1.7912693536503266,-2.6998054098210367,-0.9518498575679185,-0.9518498575679185
700,wrobstory/vincent,-1.6402914770208061,-2.5592846786921797,-0.9532319413404027,-0.9532319413404027
701,fonttools/fonttools,-1.616877795618367,-1.0199439422351524,-0.9535774622835237,-0.9535774622835237
702,devstructure/blueprint,-1.733946202630562,-2.616770432335803,-0.9535774622835237,-0.9535774622835237
703,samjabrahams/tensorflow-on-raspberry-pi,-1.431183081047299,-2.361278193919699,-0.9535774622835237,-0.9535774622835237
704,zzw922cn/Automatic_Speech_Recognition,-1.409384136293304,-2.3804401118009064,-0.8620144123564504,-0.8620144123564504
705,LuminosoInsight/python-ftfy,-1.7686630405721098,-2.7892276932666733,-0.8620144123564504,-0.8620144123564504
706,cloud-custodian/cloud-custodian,-1.2269188950191239,2.033188306837291,-0.863223735657374,-0.863223735657374
707,facebookarchive/python-instagram,-0.9669462946196286,-2.086624037622387,-0.863223735657374,-0.863223735657374
708,weskerfoot/DeleteFB,-1.6943851547436823,-2.7317419396230496,-0.8635692566004951,-0.8635692566004951
709,google/gif-for-cli,-1.7258725193883417,-2.744516551543855,-0.8637420170720556,-0.8637420170720556
710,openstack/nova,0.04226411065791554,-2.8275515290290887,-0.8640875380151766,-0.8640875380151766
711,ownthink/KnowledgeGraphData,-1.4925430736881735,-2.75729116346466,-0.8646058194298581,-0.8646058194298581
712,phodal/awesome-iot,-1.3819336132697548,-2.821164223068686,-0.8647785799014187,-0.8647785799014187
713,dabeaz/python-cookbook,-0.771563160157896,-2.7317419396230496,-0.8649513403729792,-0.8649513403729792
714,hugsy/gef,-1.5417925414657176,-2.6614815740586213,-0.8651241008445397,-0.8651241008445397
715,Tencent/tencent-ml-images,-1.4699367606099567,-2.5912212084941926,-0.8652968613161002,-0.8652968613161002
716,quark0/darts,-1.429568344398855,-2.4251512535237247,-0.8652968613161002,-0.8652968613161002
717,sherjilozair/char-rnn-tensorflow,-1.0525273369871644,-2.5145735369693614,-0.8654696217876607,-0.8654696217876607
718,formspree/formspree,-1.662897790099023,-2.7317419396230496,-0.8656423822592213,-0.8656423822592213
719,bndr/pipreqs,-1.708110416255457,-2.4187639475633222,-0.8666789450885843,-0.8666789450885843
720,getsentry/responses,-1.6548241068568026,-2.4187639475633222,-0.8666789450885843,-0.8666789450885843
721,jorgebastida/glue,-1.687118839825684,-2.393214723721712,-0.8670244660317054,-0.8670244660317054
722,douban/dpark,-1.3932367698088632,-2.8275515290290887,-0.8671972265032659,-0.8671972265032659
723,asciimoo/drawille,-1.7371756759274504,-2.795614999227076,-0.8680610288610685,-0.8680610288610685
724,dpgaspar/Flask-AppBuilder,-1.2083494235620171,-2.303792440276075,-0.86857931027575,-0.86857931027575
725,madmaze/pytesseract,-1.5183788600632788,-2.795614999227076,-0.8687520707473105,-0.8687520707473105
726,pytoolz/toolz,-1.6911556814467943,-2.246306686632452,-0.8687520707473105,-0.8687520707473105
727,OpenDroneMap/ODM,-1.295545202577997,-1.8694556349686986,-0.8689248312188711,-0.8689248312188711
728,elastic/curator,-1.3956588747815293,-2.0802367316619845,-0.8692703521619921,-0.8692703521619921
729,omab/django-social-auth,-1.1978536353471307,-2.8020023051874783,-0.8694431126335526,-0.8694431126335526
730,martinarjovsky/WassersteinGAN,-1.3302620405195444,-2.6742561859794263,-0.8696158731051131,-0.8696158731051131
731,ansible/molecule,-1.4901209687155075,-1.8886175528499063,-0.8699613940482341,-0.8699613940482341
732,vaexio/vaex,-1.6919630497710163,-2.0738494257015816,-0.8704796754629157,-0.8704796754629157
733,eternnoir/pyTelegramBotAPI,-1.2608283646364495,-1.5181538071465555,-0.8706524359344762,-0.8706524359344762
